,#,Team,Pl,W,D,L,F,A,GD,Pts,Last 6
0,1,Notts County,21,14,6,1,53,18,35,48,
1,2,Wrexham,21,14,5,2,53,19,34,47,
2,3,Woking,21,12,4,5,37,20,17,40,
3,4,Chesterfield,20,12,4,4,40,24,16,40,
4,5,Barnet,21,11,3,7,40,38,2,36,
5,6,Southend United,22,9,7,6,30,20,10,34,
6,7,Solihull Moors,21,9,6,6,35,24,11,33,
7,8,Boreham Wood,21,8,7,6,25,21,4,31,
8,9,Eastleigh,22,9,4,9,26,27,-1,31,
9,10,FC Halifax,22,9,4,9,21,27,-6,31,
10,11,Bromley,20,8,5,7,28,26,2,29,
11,12,Dagenham & Redbridge,20,8,5,7,34,36,-2,29,
12,13,Wealdstone,21,8,5,8,23,30,-7,29,
13,14,Maidenhead United,22,8,4,10,22,27,-5,28,
14,15,Aldershot Town,21,8,2,11,30,33,-3,26,
15,16,Altrincham,22,6,8,8,30,40,-10,26,
16,17,Dorking Wanderers,22,7,5,10,38,49,-11,26,
17,18,York City,22,6,7,9,24,24,0,25,
18,19,Yeovil Town,21,4,10,7,17,21,-4,22,
19,20,Maidstone Utd,22,5,6,11,26,47,-21,21,
20,21,Torquay United,22,4,6,12,25,43,-18,18,
21,22,Gateshead,21,3,8,10,25,36,-11,17,
22,23,Oldham Athletic,20,4,5,11,19,31,-12,17,
23,24,Scunthorpe United,22,3,6,13,27,47,-20,15,
